YEAR,MONTH,ENTRY_NUMBER,VERSION,ITEM_NUM,ENTRYSTATUS,REG_DATE,REGIME,CPC,QUANTITY,FOB_VALUE,CURRENCY,ENTRY_CUSTOM_VALUE,HS_CHAPTER,HSCODE,GOOD_DESCRIPTION,ORIGIN_COUNTRY_CODE,ORIGIN_COUNTRY_NAME,COUNTRY_OF_DESTINATION,COD_NAME,STATION,PLACE_OF_DISCHARGE,TOTAL_TAX_PAYABLE,TOTAL_TAX_PAID,IMPORT_DUTY,IMPORT_VAT,EXCISE,EXPORT_DUTY,IDF,RDL,RML,PRL,MSS,OTHER_TAX
2022,2022-06,22EMKIM400840544,1,1,Settled,59:31.0,IM4,IM400,48411.0,5075332.62,USD,6074238.1,48,48042100,UNBLEACHED SACKKRAFT PAPER SUB 70 GSM; 1;,RU,Russian Federation,KE,Kenya,EMK,ICD,2925561,0,1518560,1214848,0,0,91114,91114,0,0,12761,0
2022,2022-06,22SCDIM400020509,1,2,Removed,56:57.0,IM4,IM491,3455.0,1611614.76,USD,1883580.39,48,48041100,KRAFT LINER 135K/101.5; 1; 3437.46; ,SE,Sweden,KE,Kenya,SCD,SCD,89258,301374,117444,75164,0,0,7047,7047,0,0,0,0
2022,2022-06,22MBAIM402268134,1,1,Settled,02:01.0,IM4,IM400,21654.0,2828369.28,EUR,3134854.64,48,48043900,80; AXELLO KRAFT (WHITE KRAFT PAPER); 70; 1; ,FI,Finland,KE,Kenya,MBA,CCF,963707,0,313486,551735,0,0,47023,47023,0,0,5709,0
2022,2022-06,22MBAIM402334866,1,2,Settled,13:17.0,IM4,IM400,300.0,4040411.16,USD,4512463.73,48,48191000,BOX; PACKING BOX; 100; 10; 0; ,CN,China,KE,Kenya,MBA,MTS,28746,890998,14230,11384,0,0,1993,1139,0,0,59,0
2022,2022-06,22EMKIM400769787,1,5,Removed,58:55.0,IM4,IM491,13927.0,4919627.19,USD,5781988.52,48,48041100,KRAFT LINER 135K/180; 1; 12116.49;,RU,Russian Federation,KE,Kenya,EMK,ICD,315985,0,415768,266091,0,0,24947,24947,0,0,0,0
2022,2022-06,22MBAIM402168529,1,4,Settled,18:07.0,IM4,IM400,216.0,4896235.2,USD,5387348.4,48,48191000,N; PACKAGING BAG; 300; 12; 0; ,CN,China,KE,Kenya,MBA,IIL,46879,4420,23207,18566,0,0,3249,1857,0,0,59,0
2022,2022-06,22EMKIM400835748,1,1,Settled,02:32.0,IM4,IM400,24000.0,9766282.94,EUR,10923304.62,48,48043900,KRAFT PAPER; 1;,FI,Finland,KE,Kenya,EMK,ICD,1177601,0,380217,669182,0,0,57033,57033,0,0,15542,0
2022,2022-06,22NMAIM400338235,1,1,Removed,49:13.0,IM4,IM404,29243.0,3090512.94,USD,3090512.94,48,48041100,KRAFT LINER; 0;,TZ,Tanzania,KE,Kenya,NMA,NMA,494483,0,772629,494483,0,0,0,0,0,0,0,0
2022,2022-06,22MBAEX302582150,1,1,Settled,32:50.0,EX3,EX312,252.6,55651.44,USD,55651.44,48,48194000,510 PAPER SACKS FOR TEA PACKING; 0; 510; ,LK,Sri Lanka,EG,Egypt,MBA,MEX,30,30,0,0,0,0,0,0,0,0,30,0
2022,2022-01,22EMKIM400043953,1,4,Pending Removal,15:31.0,IM4,IM400,491.3,1687215.17,EUR,2334234.99,48,48115990,DKE-C697-04 SH CERES TROPICAL BLEND TBA 1LT[LIQUID PACKAGING MATERIAL];; 0; ,PK,Pakistan,KE,Kenya,EMK,ICD,70656,912,23090,40638,0,0,3464,3464,0,0,0,0
